eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-3,Abundance of cells per milliliter,367,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-3-FC-4-3-1
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-3,Particulate Organic Carbon per cell,17449.6,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-3-FC-4-3-2
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-3,Biomass as carbon per unit volume,6.4,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-3-FC-4-3-3
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-3,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-3-FC-4-3-4
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-3,NA,RedRedNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200005/,NA,NA,NA,IYS2022-TINRO-3-3-FC-4-3-5
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-4,Abundance of cells per milliliter,29,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-3-FC-4-4-1
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-4,Particulate Organic Carbon per cell,21359.4,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-3-FC-4-4-2
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-4,Biomass as carbon per unit volume,NA,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-3-FC-4-4-3
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-4,Biomass as carbon per unit volume,0.6,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-3-FC-4-4-4
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-4,NA,OraNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200006/,NA,NA,NA,IYS2022-TINRO-3-3-FC-4-4-5
